Company Name,Address,City,State,County,Employee Count,Annual Sales,Industry,Zip1
Powerhouse Gym,802 Gambell St,Anchorage,AK,Anchorage,20 To 49,"$500,000 To $1 Million",Physical Fitness Facilities,99501
Mountain's Edge,1 Trappers St,Tok,AK,Southeast Fairbanks,1 To 10,$1 To 2.5 Million,Physical Fitness Ct,99780
Alaska Club,701 W 8th Ave Ste 180,Anchorage,AK,Anchorage,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99501
Alaska Club,1400 W Northern Lights Blvd,Anchorage,AK,Anchorage,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,99503
Alaska Club,747 Old Richardson Hwy,Fairbanks,AK,Fairbanks North Star,20 To 49,"$500,000 To $1 Million",Physical Fitness Ct,99701
Pavitt Health & Fitness,10004 Glacier Hwy,Juneau,AK,Juneau,20 To 49,$1 To 2.5 Million,Physical Fitness Facilities,99801
Goals Gym,1248 Glacier Ave,Juneau,AK,Juneau,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99801
Alaska Club,575 Riverstone Way # 3,Fairbanks,AK,Fairbanks North Star,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99709
Curves,10927 Meadowwood Mall,Big Lake,AK,Matanuska Susitna,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99652
Alaska Rock Gym,665 E 33rd Ave,Anchorage,AK,Anchorage,1 To 10,"Less Than $500,000",Health Club,99503
Alaska Club,5201 E Tudor Rd,Anchorage,AK,Anchorage,100 To 249,Unknown,Health Clubs Studios & Gymnasiums,99507
Planet Fitness,1920 W Dimond Blvd Ste I3,Anchorage,AK,Anchorage,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99515
Alaska Club,12001 Business Blvd Ste 2,Eagle River,AK,Anchorage,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,99577
Alaska Club,700 Bragaw St,Anchorage,AK,Anchorage,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,99508
Alaska Club,10931 Omalley Centre Dr,Anchorage,AK,Anchorage,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,99515
Alaska Club,11001 Omalley Centre Dr Ste 102,Anchorage,AK,Anchorage,50 To 99,$1 To 2.5 Million,Fitness & Recreational Sports Centers,99515
Bare Magic Spa Parties,35477 Kenai Spur Hwy Ste 216,Soldotna,AK,Kenai Peninsula,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99669
Alaska Club,1720 E Parks Hwy,Wasilla,AK,Matanuska Susitna,20 To 49,$1 To 2.5 Million,Fitness & Recreational Sports Centers,99654
Alaska Spa Depot,2399 Old Matanuska Rd,Wasilla,AK,Matanuska Susitna,1 To 10,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,99654
Alaska Club,2841 Riverside Dr,Juneau,AK,Juneau,100 To 249,$5 To 10 Million,Fitness & Recreational Sports Centers,99801
Curves,2555 First Ave,Ketchikan,AK,Ketchikan Gateway,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,99901
Allure Day Spa & Hair Design,142 W 5th Ave,Anchorage,AK,Anchorage,50 To 99,$2.5 To 5 Million,Physical Fitness Clubs With Training Equipment,99501
Planet Fitness,1255 Airport Way Ste A4,Fairbanks,AK,Fairbanks North Star,10 To 19,"Less Than $500,000",Fitness & Recreational Sports Centers,99701
