population,zipcode,State_Name,County,City,Place,Type,Mean,Median,Stdev,Topic_Mortality,Data_Value_Mortality
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,455
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,399.5
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,361.1
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,433.8
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,353.8
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,359.7
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,353.6
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,315.9
8787,35051,Alabama,Shelby County,Columbiana,Columbiana city,City,54606,31930,57348,Heart Disease Mortality,307.3
1237,36528,Alabama,Mobile County,Dauphin Island,Dauphin Island,Town,77948,67225,54270,Heart Disease Mortality,446.2
1123,36020,Alabama,Elmore County,Coosada,Elmore,Town,46319,40242,38941,Heart Disease Mortality,331.2
1123,36020,Alabama,Elmore County,Coosada,Elmore,Town,46319,40242,38941,Heart Disease Mortality,456.5
7632,35151,Alabama,Talladega County,Sylacauga,Fayetteville,CDP,54807,41712,51359,Heart Disease Mortality,464
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,505.8
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,362.3
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,355.9
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,287.2
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,263.9
7744,35986,Alabama,DeKalb County,Rainsville,Fort Payne city,City,47929,38947,44430,Heart Disease Mortality,545.1
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,343.4
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,290.7
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,236.5
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,437
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,374.9
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,355.4
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,293.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,514.3
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,515.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,385.5
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,324.7
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,330
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,557.3
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,402.7
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,321.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,325.6
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,436
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,360.8
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,274.3
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,352.2
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,423.4
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,299.9
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,258.9
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,578.5
15881,35080,Alabama,Jefferson County,Helena,Helena city,City,93682,300000,55763,Heart Disease Mortality,382
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,459.6
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,410.7
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,426
3217,35576,Alabama,Lamar County,Millport,Kennedy,Town,44572,34725,36562,Heart Disease Mortality,478.4
10673,36420,Alabama,Covington County,Andalusia,Libertyville,Town,51098,43794,32431,Heart Disease Mortality,512.5
10673,36420,Alabama,Covington County,Andalusia,Libertyville,Town,51098,43794,32431,Heart Disease Mortality,495.6
465,36455,Alabama,Covington County,Lockhart,Lockhart,Town,45465,36849,45634,Heart Disease Mortality,512.5
465,36455,Alabama,Covington County,Lockhart,Lockhart,Town,45465,36849,45634,Heart Disease Mortality,495.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,277.7
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,315.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,363.7
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,200.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,322.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,408.5
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,297.1
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,329.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,221.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,422.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,348.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,312.8
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,292.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,365.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,374.1
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,744.8
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,192.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,330.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,392.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,352.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,293.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,395.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,356.4
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,329.6
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,318.9
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,398.7
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,439.2
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,231.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,444.3
3575,36553,Alabama,Washington County,Mcintosh,McIntosh,Town,67392,48713,54529,Heart Disease Mortality,514.9
2901,36750,Alabama,Chilton County,Maplesville,Maplesville,Town,43767,30427,38304,Heart Disease Mortality,537.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,473.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,275.2
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,390.1
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,425.1
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,471.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,434.7
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,480.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,430.9
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,388.4
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,461.2
13971,35650,Alabama,Lawrence County,Moulton,Moulton city,City,42079,28180,39942,Heart Disease Mortality,506.9
1294,36765,Alabama,Hale County,Newbern,Newbern,Town,32466,17389,31851,Heart Disease Mortality,365.6
1294,36765,Alabama,Hale County,Newbern,Newbern,Town,32466,17389,31851,Heart Disease Mortality,479.2
8106,35476,Alabama,Tuscaloosa County,Northport,Northport city,City,62410,54115,47114,Heart Disease Mortality,415.2
